epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6755,1.14828,2.98842,1.63526,0.00334,1,0.26478,0.15562,0.75842,3.65283,1.89567,6.668e-05,6.668e-05,6.668e-05
2,115.243,1.0517,2.7986,1.61875,0.00337,1,0.50382,0.29607,0.84836,3.61636,1.91521,0.000145079,0.000145079,0.000145079
3,170.761,1.09102,2.36767,1.60385,0.00339,1,0.39473,0.22465,0.85572,3.56632,1.87426,0.000217977,0.000217977,0.000217977
4,227.258,1.04947,2.15075,1.59222,0.0034,1,0.38991,0.16845,1.26472,3.81569,2.25897,0.000285374,0.000285374,0.000285374
5,277.164,1.00168,1.85177,1.51755,0.00353,1,0.53631,0.27064,1.08326,3.50245,2.06522,0.000347269,0.000347269,0.000347269
6,323.926,0.97387,1.73224,1.48929,0.00351,1,0.89381,0.5376,1.0663,3.35689,2.37225,0.000403664,0.000403664,0.000403664
7,370.566,1.05602,1.78537,1.56997,0.66597,0.6,0.8575,0.49111,1.11382,2.99806,2.4513,0.000454558,0.000454558,0.000454558
8,418.329,0.96055,1.55382,1.46156,0.7201,0.39402,0.70306,0.45356,0.90758,3.01562,1.95484,0.00049995,0.00049995,0.00049995
9,463.251,0.97203,1.54262,1.48751,0.26704,0.1,0.41211,0.23456,1.03381,3.2497,2.17387,0.000539841,0.000539841,0.000539841
10,511.868,0.97129,1.46482,1.48128,0.59945,0.29502,0.59238,0.35139,1.09326,3.14969,2.4184,0.000574231,0.000574231,0.000574231
11,561.174,0.91022,1.39971,1.40805,0.65845,0.7231,0.76027,0.43876,1.20596,2.72677,2.58355,0.000603121,0.000603121,0.000603121
12,610.989,0.96896,1.49572,1.49074,0.68447,0.58689,0.70191,0.40166,1.51425,2.94723,2.81982,0.000626509,0.000626509,0.000626509
13,656.285,1.0241,1.39929,1.48938,0.49743,0.6,0.64321,0.34652,1.46724,3.05364,2.81898,0.000644396,0.000644396,0.000644396
14,702.69,1.03634,1.44289,1.56992,0.39396,0.6,0.64188,0.3637,1.19472,2.69942,2.33744,0.000656781,0.000656781,0.000656781
15,752.824,0.96833,1.48418,1.4839,0.81187,0.48272,0.69727,0.46282,1.0214,2.53078,1.97385,0.000663666,0.000663666,0.000663666
16,813.741,0.94941,1.48064,1.44786,0.48721,0.79571,0.65129,0.4207,1.01474,2.4045,2.02454,0.00066505,0.00066505,0.00066505
17,858.603,0.86004,1.29358,1.39975,0.79514,0.78057,0.77238,0.43595,1.2823,2.40887,2.4997,0.000660932,0.000660932,0.000660932
18,904.76,0.90805,1.39347,1.43735,0.66527,0.7,0.8175,0.51376,1.21726,2.33336,2.44638,0.000651314,0.000651314,0.000651314
19,948.147,0.94115,1.29275,1.41267,0.82905,0.58401,0.81346,0.54949,1.03329,2.38386,2.1571,0.000636194,0.000636194,0.000636194
20,999.9,0.92547,1.29452,1.49089,0.41823,0.71115,0.50843,0.30592,1.19278,2.47543,2.29689,0.000615573,0.000615573,0.000615573
21,1048.63,0.81203,2.05332,1.46511,0.5297,0.79682,0.73042,0.40026,1.10576,2.40992,2.16204,0.00056678,0.00056678,0.00056678
22,1098.66,0.75669,1.61523,1.45219,0.79963,0.59269,0.78212,0.53176,1.176,2.49374,2.24382,0.000511769,0.000511769,0.000511769
23,1159.8,0.75029,1.73028,1.50596,0.67191,0.7,0.84524,0.5338,1.27257,2.44839,2.402,0.000456758,0.000456758,0.000456758
24,1210.42,0.72077,1.66898,1.48676,0.94576,0.7,0.88667,0.59005,1.11923,2.37863,2.14483,0.000401747,0.000401747,0.000401747
25,1261.1,0.60832,1.61174,1.37415,0.886,0.7,0.88944,0.60991,1.05087,2.37235,2.02182,0.000346736,0.000346736,0.000346736
26,1308.52,0.67308,1.45582,1.41096,0.88129,0.7,0.87913,0.61896,0.95669,2.22748,1.91885,0.000291725,0.000291725,0.000291725
27,1362.27,0.61419,1.42049,1.33026,0.88565,0.69124,0.87972,0.64456,0.90259,2.14057,1.84203,0.000236714,0.000236714,0.000236714
28,1407.17,0.60445,1.33869,1.30286,0.85126,0.65626,0.8577,0.62604,0.90547,2.14829,1.84706,0.000181703,0.000181703,0.000181703
29,1461.11,0.60496,1.34027,1.32228,0.8397,0.7,0.8577,0.64085,0.8922,2.13206,1.83632,0.000126692,0.000126692,0.000126692
30,1515.2,0.56474,1.36814,1.23125,0.84698,0.7,0.85889,0.65844,0.86588,2.10342,1.82171,7.1681e-05,7.1681e-05,7.1681e-05
